                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                 1.3925,                 1.0099,                0.91614,                0.43629,                0.32119,                0.31964,                 0.1876,                 1.3346,                0.99242,                0.90154,               0.002542,               0.002542,               0.002542
                    116,                 1.3886,                 1.0094,                0.91633,                0.43683,                0.32123,                0.31961,                0.18723,                 1.3352,                 0.9925,                 0.9016,               0.002476,               0.002476,               0.002476
                    117,                 1.3889,                  1.008,                0.91566,                0.43803,                0.32308,                0.31996,                0.18721,                 1.3344,                0.99172,                0.90141,                0.00241,                0.00241,                0.00241
                    118,                 1.3934,                 1.0147,                0.91672,                0.43327,                0.32489,                0.32012,                0.18735,                 1.3338,                0.99103,                0.90115,               0.002344,               0.002344,               0.002344
                    119,                 1.3936,                 1.0129,                0.91636,                0.42951,                0.32553,                0.32006,                0.18736,                 1.3333,                0.98994,                0.90098,               0.002278,               0.002278,               0.002278
                    120,                 1.3821,                 1.0036,                0.91563,                0.43183,                0.32519,                0.32071,                0.18782,                 1.3327,                0.98944,                0.90079,               0.002212,               0.002212,               0.002212
                    121,                 1.3857,                  1.004,                0.91435,                0.43158,                 0.3266,                0.32095,                 0.1879,                 1.3321,                 0.9895,                0.90055,               0.002146,               0.002146,               0.002146
                    122,                  1.377,                0.99901,                0.91261,                0.43419,                0.32735,                0.32079,                0.18784,                 1.3322,                0.98897,                0.90057,                0.00208,                0.00208,                0.00208
                    123,                 1.3849,                 1.0072,                0.91357,                0.43612,                0.32668,                0.32154,                0.18846,                 1.3319,                0.98834,                0.90049,               0.002014,               0.002014,               0.002014
                    124,                 1.3789,                0.99724,                0.91297,                0.43751,                0.32778,                0.32203,                0.18864,                 1.3312,                  0.988,                0.90034,               0.001948,               0.001948,               0.001948
                    125,                 1.3745,                0.99428,                0.91124,                0.43576,                 0.3267,                0.32218,                0.18875,                 1.3314,                0.98809,                0.90037,               0.001882,               0.001882,               0.001882
                    126,                  1.385,                 1.0003,                0.91214,                0.43436,                0.32788,                0.32237,                 0.1888,                  1.331,                0.98746,                0.90022,               0.001816,               0.001816,               0.001816
                    127,                 1.3767,                0.99515,                0.91129,                0.43647,                 0.3283,                0.32274,                0.18896,                  1.331,                0.98787,                0.90028,                0.00175,                0.00175,                0.00175
                    128,                 1.3754,                0.99597,                0.91302,                0.43746,                0.32642,                0.32328,                0.18931,                 1.3309,                0.98779,                0.90014,               0.001684,               0.001684,               0.001684
                    129,                 1.3728,                0.98796,                0.91152,                0.43819,                0.32638,                0.32346,                0.18928,                 1.3309,                0.98768,                0.89994,               0.001618,               0.001618,               0.001618
                    130,                 1.3714,                0.98628,                 0.9111,                0.43521,                0.32673,                 0.3232,                0.18916,                 1.3307,                0.98765,                0.89985,               0.001552,               0.001552,               0.001552
                    131,                 1.3768,                0.99162,                0.91272,                0.43471,                0.32711,                0.32349,                0.18916,                 1.3307,                0.98722,                0.89983,               0.001486,               0.001486,               0.001486
                    132,                  1.373,                0.99064,                0.91145,                 0.4341,                0.32842,                0.32368,                0.18942,                 1.3308,                0.98678,                0.89986,                0.00142,                0.00142,                0.00142
                    133,                 1.3714,                0.98889,                0.91233,                 0.4329,                0.32682,                0.32369,                0.18964,                 1.3306,                0.98644,                 0.8998,               0.001354,               0.001354,               0.001354
                    134,                 1.3749,                 0.9881,                0.91085,                0.43459,                0.32646,                0.32332,                0.18954,                 1.3309,                0.98641,                0.89982,               0.001288,               0.001288,               0.001288
                    135,                 1.3655,                0.98152,                0.91006,                0.43478,                0.32579,                0.32362,                0.18954,                 1.3303,                0.98609,                0.89971,               0.001222,               0.001222,               0.001222
                    136,                   1.37,                0.98104,                0.91097,                0.43849,                0.32469,                 0.3232,                0.18939,                 1.3305,                 0.9862,                 0.8997,               0.001156,               0.001156,               0.001156
                    137,                 1.3625,                0.97991,                0.90883,                0.43463,                0.32688,                0.32335,                0.18948,                 1.3303,                0.98598,                0.89965,                0.00109,                0.00109,                0.00109
                    138,                 1.3633,                0.97644,                0.91026,                0.43341,                0.32673,                 0.3233,                0.18944,                 1.3301,                0.98554,                0.89964,               0.001024,               0.001024,               0.001024
                    139,                 1.3631,                0.97739,                0.90976,                0.43501,                 0.3264,                0.32299,                0.18936,                 1.3303,                 0.9857,                0.89964,               0.000958,               0.000958,               0.000958
                    140,                 1.3604,                0.97944,                0.90999,                0.43331,                0.32711,                0.32336,                 0.1895,                 1.3304,                0.98515,                0.89965,               0.000892,               0.000892,               0.000892
                    141,                  1.341,                0.95365,                0.91095,                0.43217,                0.32773,                0.32297,                0.18934,                 1.3305,                0.98533,                0.89963,               0.000826,               0.000826,               0.000826
                    142,                 1.3284,                0.93857,                0.90868,                0.43416,                0.32793,                0.32309,                0.18943,                 1.3306,                0.98522,                0.89964,                0.00076,                0.00076,                0.00076
                    143,                 1.3296,                0.93745,                0.90859,                 0.4348,                0.32736,                0.32271,                0.18925,                 1.3308,                0.98557,                 0.8997,               0.000694,               0.000694,               0.000694
                    144,                 1.3251,                0.93145,                0.90604,                0.43284,                0.32822,                 0.3229,                0.18902,                 1.3309,                0.98551,                0.89962,               0.000628,               0.000628,               0.000628
                    145,                  1.321,                0.93214,                0.90619,                0.43162,                 0.3289,                0.32306,                0.18917,                  1.331,                0.98566,                0.89962,               0.000562,               0.000562,               0.000562
                    146,                 1.3189,                0.92662,                0.90636,                0.43509,                0.32738,                0.32311,                0.18916,                 1.3311,                 0.9858,                0.89966,               0.000496,               0.000496,               0.000496
                    147,                 1.3188,                0.92758,                0.90615,                 0.4348,                0.32731,                0.32312,                0.18915,                 1.3313,                0.98562,                0.89967,                0.00043,                0.00043,                0.00043
                    148,                 1.3137,                0.92366,                0.90379,                0.43503,                0.32717,                 0.3228,                0.18926,                 1.3318,                0.98577,                0.89977,               0.000364,               0.000364,               0.000364
                    149,                 1.3157,                0.92294,                0.90448,                0.43571,                0.32738,                0.32277,                0.18915,                 1.3321,                0.98566,                0.89986,               0.000298,               0.000298,               0.000298
                    150,                 1.3038,                 0.9156,                0.90362,                0.43865,                0.32737,                0.32334,                0.18918,                 1.3323,                0.98599,                0.89983,               0.000232,               0.000232,               0.000232
